Python Programming |A modular approach | First Edition | By Pearson,389,/Programming-Python-Complete-Introduction-Language/dp/9352869176/ref=sxts_sxwds-deals?cv_ct_cx=python+programming&dchild=1&keywords=python+programming&pd_rd_i=9352869176&pd_rd_r=ced8432a-6295-4040-9236-7b73332767b1&pd_rd_w=jHL1i&pd_rd_wg=cSW23&pf_rd_p=bad35f2b-c35c-40da-a850-579f7791b16c&pf_rd_r=RS98G8KDZ8F11G0DD6DA&psc=1&qid=1603709807&sr=1-2-639fa736-8ebd-4159-8516-a629dca5da33#customerReviews
Python: The Complete Reference,492,/Programming-Python-Complete-Introduction-Language/dp/9352869176/ref=sxts_sxwds-deals?cv_ct_cx=python+programming&dchild=1&keywords=python+programming&pd_rd_i=9352869176&pd_rd_r=ced8432a-6295-4040-9236-7b73332767b1&pd_rd_w=jHL1i&pd_rd_wg=cSW23&pf_rd_p=bad35f2b-c35c-40da-a850-579f7791b16c&pf_rd_r=RS98G8KDZ8F11G0DD6DA&psc=1&qid=1603709807&sr=1-2-639fa736-8ebd-4159-8516-a629dca5da33
"Beginning Programming with Python For Dummies, 2ed",499,/gp/goldbox/
Let Us Python,248,/Programming-Python-Complete-Introduction-Language/dp/9352869176/ref=sxts_sxwds-deals?cv_ct_cx=python+programming&dchild=1&keywords=python+programming&pd_rd_i=9352869176&pd_rd_r=ced8432a-6295-4040-9236-7b73332767b1&pd_rd_w=jHL1i&pd_rd_wg=cSW23&pf_rd_p=bad35f2b-c35c-40da-a850-579f7791b16c&pf_rd_r=RS98G8KDZ8F11G0DD6DA&psc=1&qid=1603709807&sr=1-2-639fa736-8ebd-4159-8516-a629dca5da33
Programming in Python 3: A Complete Introduction to the Python Language,544,/gp/bestsellers/books/14447071031/ref=sr_bs_2_14447071031_1
Python: The Complete Reference,492,/Python-Crash-Course-Eric-Matthes/dp/1593279280/ref=sxts_sxwds-deals?cv_ct_cx=python+programming&dchild=1&keywords=python+programming&pd_rd_i=1593279280&pd_rd_r=ced8432a-6295-4040-9236-7b73332767b1&pd_rd_w=jHL1i&pd_rd_wg=cSW23&pf_rd_p=bad35f2b-c35c-40da-a850-579f7791b16c&pf_rd_r=RS98G8KDZ8F11G0DD6DA&psc=1&qid=1603709807&sr=1-3-639fa736-8ebd-4159-8516-a629dca5da33
Programming and Problem Solving with Python,520,/Python-Crash-Course-Eric-Matthes/dp/1593279280/ref=sxts_sxwds-deals?cv_ct_cx=python+programming&dchild=1&keywords=python+programming&pd_rd_i=1593279280&pd_rd_r=ced8432a-6295-4040-9236-7b73332767b1&pd_rd_w=jHL1i&pd_rd_wg=cSW23&pf_rd_p=bad35f2b-c35c-40da-a850-579f7791b16c&pf_rd_r=RS98G8KDZ8F11G0DD6DA&psc=1&qid=1603709807&sr=1-3-639fa736-8ebd-4159-8516-a629dca5da33
Introduction to Computation and Programming Using Python with Application to Understanding Data,591,/Eric-Matthes/e/B01DPU378I?ref=sxts_sxwds-deals&qid=1603709807&sr=1-3-639fa736-8ebd-4159-8516-a629dca5da33
Learn and Practice Python Programming Ed2,350,/Python-Crash-Course-Eric-Matthes/dp/1593279280/ref=sxts_sxwds-deals?cv_ct_cx=python+programming&dchild=1&keywords=python+programming&pd_rd_i=1593279280&pd_rd_r=ced8432a-6295-4040-9236-7b73332767b1&pd_rd_w=jHL1i&pd_rd_wg=cSW23&pf_rd_p=bad35f2b-c35c-40da-a850-579f7791b16c&pf_rd_r=RS98G8KDZ8F11G0DD6DA&psc=1&qid=1603709807&sr=1-3-639fa736-8ebd-4159-8516-a629dca5da33#customerReviews
Python Made Easy: Step by Step Guide to Programming and Data Analysis using Python for Beginners and Intermediate Level,699,/Python-Crash-Course-Eric-Matthes/dp/1593279280/ref=sxts_sxwds-deals?cv_ct_cx=python+programming&dchild=1&keywords=python+programming&pd_rd_i=1593279280&pd_rd_r=ced8432a-6295-4040-9236-7b73332767b1&pd_rd_w=jHL1i&pd_rd_wg=cSW23&pf_rd_p=bad35f2b-c35c-40da-a850-579f7791b16c&pf_rd_r=RS98G8KDZ8F11G0DD6DA&psc=1&qid=1603709807&sr=1-3-639fa736-8ebd-4159-8516-a629dca5da33
